detected_at,adult_female_count_adjusted,moving_count_adjusted,date,fixed_count
2019-01-01,0.45454545454545453,3.590909090909091,2019-01-01,0.05
2019-01-02,,,,
2019-01-03,,,,
2019-01-04,0.43661971830985913,2.5774647887323945,2019-01-04,0.08420826618914869
2019-01-05,0.40789473684210525,2.486842105263158,2019-01-05,0.051379805307510976
2019-01-06,0.3950617283950617,2.3580246913580245,2019-01-06,0.022961889124979932
2019-01-07,0.3516483516483517,2.1648351648351647,2019-01-07,0.052904859275438657
2019-01-08,0.15517241379310345,0.9310344827586207,2019-01-08,0.05729004723515125
2019-01-09,0.15517241379310345,0.9310344827586207,2019-01-09,0.10661765913854966
2019-01-10,0.08928571428571429,0.8035714285714286,2019-01-10,0.08371709232659208
2019-01-11,0.075,0.9,2019-01-11,0.12420912503727219
2019-01-12,0.075,0.85,2019-01-12,0.0998554792906568
2019-01-13,0.04,1.18,2019-01-13,0.10863637125748755
2019-01-14,0.04081632653061224,1.2040816326530612,2019-01-14,0.12912754336301688
2019-01-15,0.09090909090909091,1.5227272727272727,2019-01-15,0.1573380111039756
2019-01-16,0.09836065573770492,1.7704918032786885,2019-01-16,0.20774229292819585
2019-01-17,0.08433734939759036,2.36144578313253,2019-01-17,0.2408202598930895
2019-01-18,0.06542056074766354,3.5981308411214954,2019-01-18,0.36486012481282837
2019-01-19,0.09219858156028368,4.156028368794326,2019-01-19,0.3943926666637533
2019-01-20,0.11219512195121951,5.131707317073171,2019-01-20,0.477891135545496
2019-01-21,0.1396011396011396,5.598290598290598,2019-01-21,0.5279223247483182
2019-01-22,0.1377551020408163,5.533163265306122,2019-01-22,0.5402026281089547
2019-01-23,0.1369150779896014,5.476603119584055,2019-01-23,0.5669284711822059
2019-01-24,0.17208672086720866,5.762872628726288,2019-01-24,0.6103383714318185
2019-01-25,0.17654639175257733,5.730670103092783,2019-01-25,0.6846668856313762
2019-01-26,0.18170580964153277,5.76761433868974,2019-01-26,0.7059326004267062
2019-01-27,0.19186785260482847,5.742058449809403,2019-01-27,0.7556571800229598
2019-01-28,0.19635343618513323,5.678821879382889,2019-01-28,0.7816175916945884
2019-01-29,0.21037868162692847,5.706872370266479,2019-01-29,0.7914754190488702
2019-01-30,0.23694029850746268,5.981343283582089,2019-01-30,0.8300031148195348
2019-01-31,0.23227383863080683,6.166259168704157,2019-01-31,0.8717105237840599
2019-02-01,0.25257731958762886,6.396907216494846,2019-02-01,0.9362460464110409
2019-02-02,0.29295774647887324,6.625352112676056,2019-02-02,0.9677063812786424
2019-02-03,0.3009118541033435,7.036474164133739,2019-02-03,1.0314253847449342
2019-02-04,0.3464052287581699,7.8431372549019605,2019-02-04,1.1120538872428016
2019-02-05,0.358974358974359,8.583333333333334,2019-02-05,1.1773814264769662
2019-02-06,0.39779005524861877,9.201657458563536,2019-02-06,1.2507345278731945
2019-02-07,0.4350282485875706,9.745762711864407,2019-02-07,1.3201215416952699
2019-02-08,0.45294117647058824,10.388235294117647,2019-02-08,1.4115313723042573
2019-02-09,0.4420731707317073,10.774390243902438,2019-02-09,1.4619291759049533
2019-02-10,0.4608150470219436,11.137931034482758,2019-02-10,1.5305182213004798
2019-02-11,0.4844290657439446,11.217993079584774,2019-02-11,1.586912856457319
2019-02-12,,,,
2019-02-13,,,,
2019-02-14,,,,
2019-02-15,,,,
2019-02-16,,,,
2019-02-17,,,,
2019-02-18,,,,
2019-02-19,,,,
2019-02-20,0.4411764705882353,5.403743315508021,2019-02-20,0.04714831853386379
2019-02-21,0.3582089552238806,4.417910447761194,2019-02-21,0.06790519675340519
2019-02-22,0.17633928571428573,1.75,2019-02-22,0.04608954000574359
2019-02-23,0.13655462184873948,1.2773109243697478,2019-02-23,0.02311673306936941
2019-02-24,0.1111111111111111,0.9435897435897436,2019-02-24,0.056043735886512146
2019-02-25,0.12332439678284182,0.8579088471849866,2019-02-25,0.10718148882452022
2019-02-26,0.13118279569892474,0.8161290322580645,2019-02-26,0.1160286790196948
2019-02-27,0.14043583535108958,0.8038740920096852,2019-02-27,0.09354188485177037
2019-02-28,0.24616858237547892,0.8975095785440613,2019-02-28,0.11390198827063613
2019-03-01,0.2969472710453284,0.9861239592969473,2019-03-01,0.1074654315473168
2019-03-02,0.3311036789297659,1.1580267558528428,2019-03-02,0.10697451497123646
2019-03-03,0.3988439306358382,1.3916184971098267,2019-03-03,0.14607659601842365
2019-03-04,0.44683808200138986,1.5045170257123002,2019-03-04,0.18681388512818656
2019-03-05,,,,
2019-03-06,,,,
2019-03-07,,,,
2019-03-08,,,,
2019-03-09,,,,
2019-03-10,,,,
2019-03-11,,,,
2019-03-12,,,,
2019-03-13,,,,
2019-03-14,,,,
2019-03-15,,,,
2019-03-16,,,,
2019-03-17,,,,
2019-03-18,,,,
2019-03-19,,,,
2019-03-20,,,,
2019-03-21,,,,
2019-03-22,,,,
2019-03-23,,,,
2019-03-24,,,,
2019-03-25,,,,
2019-03-26,,,,
2019-03-27,,,,
2019-03-28,,,,
2019-03-29,,,,
