,count
"[0.0, 0.1)",1
"[0.1, 0.2)",0
"[0.2, 0.30000000000000004)",0
"[0.30000000000000004, 0.4)",0
"[0.4, 0.5)",0
"[0.5, 0.6000000000000001)",0
"[0.6000000000000001, 0.7000000000000001)",3
"[0.7000000000000001, 0.8)",35
"[0.8, 0.9)",171
"[0.9, 1.0)",685
"[1.0, 1.1)",2316
"[1.1, 1.2000000000000002)",3716
"[1.2000000000000002, 1.3)",3833
"[1.3, 1.4000000000000001)",3439
"[1.4000000000000001, 1.5)",1030
"[1.5, 1.6)",772
"[1.6, 1.7000000000000002)",65
"[1.7000000000000002, 1.8)",8
"[1.8, 1.9000000000000001)",4
"[1.9000000000000001, 2.0)",2
"[2.0, 2.1)",2
"[2.1, 2.2)",1
"[2.2, 2.3000000000000003)",0
"[2.3000000000000003, 2.4000000000000004)",0
"[2.4000000000000004, 2.5)",0
"[2.5, 2.6)",0
"[2.6, 2.7)",1
"[2.7, 2.8000000000000003)",0
"[2.8000000000000003, 2.9000000000000004)",0
"[2.9000000000000004, 3.0)",0
"[3.0, 3.1)",0
"[3.1, 3.2)",0
"[3.2, 3.3000000000000003)",0
"[3.3000000000000003, 3.4000000000000004)",1
